Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,7297.75,96.39389963888293,-67.58247771370425,305.2940645862569,246.46403367705636,2972.4332957389897,1.0,184.33661059915727,240.0
2,,78.5,9.997464891746821,15.759188529737802,12.850394275050297,7.946131694635458,35.92031021678297,58.0,202.34713375796179,229.0
3,,43.25,7.420755373261929,27.404684984187906,9.222151020837257,6.1982902598201335,26.435028842544405,62.0,204.61271676300578,226.0
4,,95.75,11.041407809169618,-51.37489435577555,15.049398176208676,8.368709520380909,41.7842712474619,78.0,200.01044386422976,228.0
5,,254.0,17.983404693292407,81.55249429167205,20.083386024884124,17.16666037625649,67.44112549695427,89.0,203.8484251968504,231.0
6,,78.25,9.981532666656284,83.34814846851823,11.743191140484743,9.118733760824485,38.12741699796952,24.0,201.40575079872204,230.0
7,,88.0,10.585134856802455,30.997867205015698,13.991790032833002,8.350381755850284,41.66295090390226,57.0,199.88920454545453,233.0
8,,178.75,15.086138293858053,-38.222577610562496,16.04730300567701,14.561973457862704,56.50914498161482,69.0,205.85734265734266,228.0
9,,33.25,6.506551687525748,-1.2624135528605656,7.043622910031428,6.220886965909481,22.97056274847714,82.0,198.54887218045113,228.0
10,,29.75,6.154581744998688,88.94126441382039,6.594537623456722,6.063055628068702,21.81370849898476,61.0,191.25210084033614,224.0
11,,157.5,14.161046158239445,82.28309992750373,18.313840222821206,11.285485276925725,51.62741699796952,85.0,202.57142857142858,234.0
12,,258.5,18.1420071192258,44.462347330309996,21.227238546257492,15.740771809932463,67.82285348059958,60.0,199.57833655705997,227.0
13,,81.0,10.155412503859614,-48.53975048413993,10.735831756013823,9.884768675105018,36.21320343559643,78.0,202.51234567901236,223.0
14,,40.0,7.136496464611085,-74.02414304360248,9.53110127226034,5.718430928840302,26.970562748477143,103.0,198.1,226.0
15,,270.0,18.5411616971131,-72.21743884877284,19.114115731074833,18.317602311488493,62.7842712474619,81.0,200.4990740740741,225.0
16,,86.5,10.49453289192004,-10.88215606422618,13.880017891346023,8.3208340398424,39.42031021678297,97.0,202.03757225433526,225.0
17,,77.5,9.933582672781009,-75.79540264938535,14.268494031619927,7.227799626087534,38.69543648263006,37.0,195.83225806451614,226.0
18,,53.75,8.272643200907131,-77.75797184373918,9.262583483658101,7.709278395840669,28.79898987322333,81.0,195.50232558139535,222.0
19,,26.0,5.753627391751592,-35.41553670534191,7.715805120225359,5.26224319256627,24.071067811865476,45.0,192.68269230769232,223.0
20,,30.75,6.257165172872317,16.33734123320569,6.949068665010267,5.701519521399185,20.227922061357855,115.0,202.08130081300814,225.0
21,,79.75,10.076748170547344,9.417155920226898,13.139590673801857,8.370707274897448,40.22792206135785,62.0,194.72100313479623,228.0
22,,190.25,15.563862739881277,-61.59826257790272,17.691577416856646,13.880988895179087,58.062445840513924,47.0,201.55978975032852,225.0
23,,118.75,12.296226898414837,-67.77081086322613,14.278806708441977,10.779968716111776,45.09493141924172,81.0,202.02105263157895,226.0
24,,61.5,8.848967849484623,-4.171190755834066,10.290234533640396,7.968153393982946,32.55634918610404,44.0,192.890243902439,217.0
25,,46.75,7.715176518808164,1.732494815702438,9.01893162044912,6.763211582442992,26.02081528017131,78.0,191.58288770053477,229.0
26,,169.0,14.668929172241665,-31.475347574735707,17.534135661572847,12.856526175712744,57.80203820042827,58.0,200.2041420118343,227.0
27,,114.0,12.047792665040703,43.172896850511115,14.046723345851792,11.730063090701194,50.2842712474619,1.0,191.59868421052633,225.0
28,,41.0,7.225151993843567,-39.12890584825381,9.122015763462565,6.030337765236363,26.763455967290593,82.0,194.140243902439,226.0
29,,215.5,16.56451393462626,-19.664488574699384,21.78085986566261,14.140134515676637,68.87310601229375,35.0,196.08932714617168,223.0
30,,202.75,16.067025788709444,4.921408933141755,17.99415901404859,15.389797876393041,62.18376618407356,61.0,199.7928483353884,223.0
31,,60.5,8.77673016883152,-25.383675078111583,10.087442279461067,8.133340835150184,32.09188309203678,48.0,195.2479338842975,224.0
32,,55.0,8.368283871884005,25.070940958041536,8.759312541923764,8.177750351881038,28.727922061357855,75.0,196.3090909090909,223.0
33,,107.5,11.699284211396439,-19.987101988680777,12.920246534996203,10.864317510537912,42.298989873223334,57.0,196.28372093023256,227.0
34,,48.75,7.878478774854901,25.364938674054176,10.767786978760595,5.91505591904797,28.884776310850235,57.0,189.51282051282053,224.0
35,,22.5,5.352372348458314,-6.286875870278303,6.896787204107355,4.345538974317275,18.606601717798213,101.0,200.17777777777778,222.0
36,,348.25,21.057199990834974,-33.38737124906936,22.325835613234293,20.241621429177446,80.1010280736516,38.0,197.08040201005025,218.0
37,,64.0,9.0270333367641,49.669728944181706,10.242195357956755,8.167180784352263,32.12741699796952,64.0,197.96484375,228.0
38,,66.0,9.166995688475081,-8.944047265769896,10.301437988716707,8.52454075101294,33.298989873223334,48.0,192.4848484848485,223.0
39,,141.5,13.422495877444907,-20.18904346114034,19.001882425790317,9.763975842655686,53.90559159102155,48.0,194.2173144876325,222.0
40,,106.0,11.617374563210365,2.1509134362881155,16.337812998906962,9.259925039187163,47.21320343559643,73.0,194.33254716981133,220.0
41,,278.5,18.83075179616424,-83.18870805166814,26.865310508880288,13.896732284256908,73.51219330881976,38.0,199.31328545780968,233.0
42,,59.75,8.722159296752494,-32.172213677730575,10.078924796264888,7.8826085748425685,31.4350288425444,84.0,199.34728033472803,228.0
43,,28.5,6.023896332520351,-7.618430446755826,7.505721650424072,4.9916458063141445,22.349242404917497,99.0,189.42105263157896,222.0
44,,578.25,27.133941231290155,-16.73550298719122,29.95239537775925,24.877784456465342,100.74011537017762,3.0,193.71076523994813,223.0
45,,113.0,11.994835078277376,22.499021225281783,13.78733984108878,10.83263594112608,45.9558441227157,64.0,195.2079646017699,220.0
46,,58.25,8.611980229936854,6.3463557060628135,10.84008619550755,7.019891624242737,31.556349186104043,83.0,193.0343347639485,220.0
47,,72.5,9.607802401865856,-10.533330146782877,12.834682826071962,7.493083690900708,35.09188309203678,96.0,195.79655172413794,219.0
48,,119.25,12.322086499845234,27.5155631896436,14.194227451737213,11.572292492049556,47.12741699796952,39.0,189.31865828092242,219.0
49,,55.5,8.406235467365967,-59.42253056607623,10.83582425960994,7.407014732343569,31.745689014324228,55.0,181.37387387387386,224.0
50,,85.75,10.448937312523231,-20.647119688000846,10.970512149558465,10.321547730326005,39.12741699796952,89.0,197.46938775510205,220.0
51,,261.0,18.229523339239496,-10.839536730530599,22.642764537677774,15.264834228818096,73.85838738653231,37.0,197.21072796934865,225.0
52,,363.75,21.520708268953776,-5.167424755741558,28.369901796635865,16.643546246944556,81.51219330881975,70.0,200.633676975945,227.0
53,,124.75,12.603040633343667,-79.47006093761999,16.189568282310073,11.230283142888483,53.66295090390226,9.0,195.85971943887776,225.0
54,,327.5,20.42023386008999,7.856455549964337,22.699636086224505,18.530268606628383,73.1335136523794,62.0,200.82366412213742,221.0
55,,137.5,13.231418571003069,68.68998738497096,14.65276790107851,12.4674681243693,49.16295090390226,49.0,191.4018181818182,220.0
56,,21.75,5.262410103554244,12.088083415239424,7.696498642081838,3.7066786818316126,19.899494936611667,63.0,191.95402298850576,216.0
57,,17.75,4.753945931439391,-58.047685883251475,6.948782702507041,3.5764772382032777,17.72792206135786,84.0,187.2112676056338,216.0
58,,58.75,8.6488625410045,-61.48176296288582,10.597241638222783,7.345311956114791,31.884776310850235,69.0,193.38297872340425,220.0
59,,94.75,10.983598994121039,-5.403054407851994,12.690446554562673,9.95143265137992,38.867009357883866,85.0,195.68601583113457,222.0
60,,100.5,11.311965976163641,-23.50527711969026,12.196645810090743,10.732605112159613,41.00609665440987,67.0,194.77611940298507,224.0
61,,28.75,6.050259243299904,-62.56307554147747,7.068601482242096,5.391158459122639,21.727922061357855,62.0,186.4695652173913,224.0
62,,47.5,7.776816725043752,-28.477916952746202,9.021827947512689,6.880223776247454,25.727922061357855,95.0,188.43684210526317,224.0
63,,146.75,13.669231989760256,-60.727658500114124,16.155097482350392,12.046864517951452,49.59188309203678,52.0,191.809199318569,222.0
64,,74.5,9.739422266375435,9.097793453025147,10.638111161365284,9.26145060562325,37.04163056034261,70.0,192.95302013422818,219.0
65,,109.75,11.821084554078958,-49.65823150644056,13.01821638112141,11.616776393315817,47.45584412271571,42.0,183.07061503416855,220.0
66,,177.25,15.022706457370044,-10.84208459040629,18.90213177086104,12.90872806022397,59.38782463805517,20.0,192.2524682651622,221.0
67,,327.75,20.42802635564556,21.066689701512626,23.649859887542874,18.036634497467585,75.75483399593904,51.0,198.3432494279176,222.0
68,,41.75,7.2909362219603215,6.429925171488091,8.826238053600628,6.533287547509726,26.72792206135785,43.0,191.05988023952096,216.0
69,,69.5,9.40692023773423,0.5185841016511629,10.785784503728904,8.426546749508569,34.98832970144351,46.0,190.07553956834533,219.0
70,,28.75,6.050259243299904,25.3517873499976,8.40080655961035,4.469402720632662,21.02081528017131,82.0,188.29565217391306,219.0
71,,41.5,7.269074295019226,0.5887347637472645,9.822767928680621,5.841766553117152,29.281222920256962,47.0,192.14457831325302,221.0
72,,75.75,9.82078894558317,-80.00287229166153,13.342163807274348,8.019770553296116,40.50609665440987,18.0,186.17821782178217,219.0
73,,119.25,12.322086499845234,-26.838102371328645,14.612272117558517,10.606560596605117,46.49137802864845,52.0,193.41719077568135,219.0
74,,190.0,15.553633450087505,8.65873668624469,18.602505093301033,14.131114746427498,61.923358543987916,53.0,189.98026315789474,217.0
75,,61.25,8.83096382707056,-79.05152192850409,10.02549109043743,8.182893689699112,33.15990257669732,54.0,189.934693877551,217.0
76,,191.75,15.625097846188595,-9.536941696975207,19.43040436193161,13.330945696958938,65.08021279348029,2.0,191.77705345501957,223.0
77,,221.75,16.80300178673508,-35.28996945515413,18.68576977358386,15.368715784667751,62.23401871576773,35.0,196.22660653889514,221.0
78,,46.0,7.653039857325812,-2.7820110924735846,8.568417399281202,6.894629030779917,25.22792206135786,105.0,199.52717391304347,220.0
79,,230.5,17.131308037083887,-88.62084742479814,25.048523379799242,13.15527350664147,82.80813485483814,55.0,189.324295010846,218.0
80,,30.0,6.180387232371033,-48.89051484480075,6.388162251623525,6.2375204067570005,21.710155108391486,79.0,191.14166666666668,215.0
81,,33.75,6.555290583552474,81.1240290312388,7.619565251599612,6.061853367950324,24.692388155425117,58.0,180.84444444444443,214.0
82,,28.0,5.970821321441846,85.5505150855324,7.002242937761679,5.417531957823236,21.053300858899107,32.0,177.92857142857142,212.0
83,,78.75,10.013371767186818,-29.434478752168676,11.95203921752014,9.091869270790314,38.867009357883866,23.0,189.41904761904763,223.0
84,,114.25,12.060995729457511,-77.38599102264232,14.232517881138596,10.481735995239044,45.42031021678297,54.0,193.29978118161927,223.0
85,,40.25,7.158763278359629,-44.02874054868779,8.840271721534153,5.969921181687529,24.935028842544405,59.0,189.85093167701862,223.0
86,,57.25,8.537737635702333,7.390531147691714,12.774459722101927,5.8244827462923725,34.05634918610404,83.0,194.43668122270742,219.0
87,,37.25,6.886811529393324,-17.78738221026719,7.9390685981042015,6.151904190319962,22.763455967290593,87.0,192.66442953020135,221.0
88,,57.75,8.574939283076915,-48.626677044588604,10.698708197452538,7.3201481243945565,32.60965004500315,78.0,194.56709956709958,219.0
89,,165.75,14.527197064122632,-40.831147922858506,14.992170015539257,14.461197612583344,54.47361107568208,47.0,191.14932126696831,218.0
90,,49.0,7.898654169668588,71.99145111668207,9.896007732802193,6.739531142090647,29.970562748477143,70.0,186.10204081632654,215.0
91,,83.5,10.31094088749354,16.412259611372363,12.299523877106513,8.940993730669945,37.920310216782966,2.0,184.97904191616766,217.0
92,,72.5,9.607802401865856,3.0203096046153095,14.74402311517722,6.6992457897005275,39.00609665440988,64.0,186.18965517241378,221.0
93,,143.0,13.493452297211721,15.444543929444302,14.589772224462736,13.189352776288047,49.33452377915607,60.0,193.16783216783216,224.0
94,,85.0,10.403141895720198,28.592455255346415,13.655930039822303,8.439547106943367,40.28122292025696,40.0,194.93823529411765,227.0
95,,29.5,6.128667601500942,26.2243744746696,7.36413388150344,5.268235631156046,21.606601717798213,59.0,186.05084745762713,219.0
96,,97.75,11.156126814350138,74.45056756130562,14.365303634361192,8.929409197286867,40.16295090390226,53.0,199.153452685422,224.0
97,,81.0,10.155412503859614,-88.79038392664748,12.721148414436925,8.412651823998065,38.50609665440988,67.0,189.6172839506173,216.0
98,,145.0,13.58748446131949,61.9732955452358,15.931521358473772,11.929977204448784,50.88782463805518,59.0,194.43103448275863,224.0
99,,31.25,6.3078313050504,-24.14143819473521,8.317464974165569,4.950565261011002,22.038582233137674,65.0,185.496,215.0
100,,93.0,10.881694613449236,-19.583428683906305,13.596481758850777,8.988644568874792,39.42031021678297,60.0,195.58602150537635,220.0
101,,241.25,17.52623862006215,-65.43751506576652,19.95916485930679,15.862695623310266,66.89087296526012,55.0,197.23419689119171,221.0
102,,113.75,12.034575115625177,-74.53856502130976,15.072294800035586,10.065853458726705,47.76345596729059,30.0,195.75604395604395,224.0
103,,148.5,13.750493532712623,-83.45918332567608,17.551806604896232,11.314151236354832,54.7842712474619,47.0,192.8956228956229,224.0
104,,88.25,10.600159896099592,-3.151417184713213,12.757140037186094,9.226720397854617,38.60965004500315,55.0,190.27195467422095,218.0
105,,56.5,8.481629223064205,47.33072839573161,9.46670570394125,8.17612510208475,30.435028842544405,56.0,183.7920353982301,216.0
106,,107.0,11.67204486311899,-10.966349428412112,14.862025397490928,9.291480879198602,42.21320343559643,68.0,194.48831775700936,222.0
107,,105.5,11.589942707777277,63.975162592253746,14.002023856249505,10.145876660280805,44.04163056034261,55.0,194.6872037914692,220.0
108,,62.25,8.902761462589227,31.993963729409145,9.586128919683134,8.4962535620224,31.213203435596427,73.0,192.46586345381527,223.0
109,,181.0,15.180789096653193,42.59133248508103,16.844253237571344,14.005788934608919,56.526911934581186,38.0,196.41988950276243,222.0
110,,59.0,8.667244841319219,47.68091036586046,10.23058637457189,7.742906263486147,33.15990257669732,24.0,182.79661016949152,214.0
111,,91.0,10.764051215546116,7.436378315755478,11.470821104823473,10.490274156481979,39.4350288425444,56.0,190.1456043956044,217.0
112,,42.75,7.377736139048903,56.62499284876272,9.530257162120883,6.512243354020744,29.263455967290593,38.0,185.56140350877192,218.0
113,,154.75,14.036873567421145,82.42253552114055,16.773042810621686,12.012465809102311,52.23401871576773,50.0,190.6058158319871,219.0
